Device_Category,Title,Price,Condition,Item_URL
iPod Classic,Apple iPod classic 6th Generation Black (160 GB) MB150LL/A Needs Battery 0218-04,120.0,Used,https://www.ebay.com/itm/397625598058?_skw=iPod+Classic+160GB&hash=item5c9455206a:g:NEkAAeSwy6hplgOB
iPod Classic,Apple iPod classic 7th Generation Silver (160 GB),155.0,Used,https://www.ebay.com/itm/188079589844?_skw=iPod+Classic+160GB&hash=item2bca6ac9d4:g:MQMAAeSwtR9pmQBW
iPod Classic,Apple iPod Classic 6th Gen A1238 160GB Black Chunky W/6339 Songs Works,139.99,Used,https://www.ebay.com/itm/267577685377?_skw=iPod+Classic+160GB&hash=item3e4cdf7581:g:PSAAAeSwoNppkqe3
iPod Classic,Apple iPod Classic 6th Generation Silver (160GB) Fully Functional ,150.0,Used,https://www.ebay.com/itm/326982785586?_skw=iPod+Classic+160GB&hash=item4c21b15a32:g:glwAAeSwku5pgPhW
iPod Classic,Apple iPod Classic 160GB A1238 MB150LL/A Black/Silver Tested With accesories A6,149.99,Used,https://www.ebay.com/itm/358158162418?_skw=iPod+Classic+160GB&hash=item5363e3d9f2:g:RbsAAeSwyZNpd6Y~&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGbju%2FZ0CFnhXhyYk096uQiXRQd%2Fj0u92jhwqhqIHLexzyXVzsU6pMfZemjaQE4Bp%2FTKS0u4XXAAO8hIosW0LSHf4uFpLi%2BE3pQyqiLsk5bCpCIB2y2GHJpzPtOd4W%2BH6%2BTOdTkVdOr6ruMLcCN34Zu9v%2BJXWTVhuqlBEsuzMHVJMzYKUDWwcmGx3RlvDL2apDog%2FX3qCJQzOustYQfQoAIiJsCAPiJLpKwe0e%2Bm25PK80Q1ahBHHKV3eU8wyFlS1PEr65lA25rWw50bc8OmcPjCvjIQsJCUcA0sao8FQ8sr5A%3D%3D
iPod Classic,Apple iPod classic 7th Generation 128GB Purple Pink Rainbow Back,324.95,Excellent - Refurbished,https://www.ebay.com/itm/177010763930?_skw=iPod+Classic+160GB&hash=item2936a9e89a:g:fHEAAOSwIfdmgZrB&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGY6KhlFVg01OEIwG1fv6jSiF3Fou6paXWOy%2B3mdrKDLEkUrXoeljwy7dkptsJfNU05QjdZlBxGW0of2xOO55ZzfwJTs6o5dM3IXk3dmCGjXRFet4kYUI325qyv5QG1LXNZASriV9FlClVGgUiasdRKdTo6OTqlGsF6NG8Mc097fvL9K6FwhuB9zpdMnWJMI6xxszRbG%2FmRF1jaazSDhMltK6VcwTtfzNGjnC%2BEuimRbMlVgFHEHj12EKJucrNZ6mOJQ3lMaJVkRXl7Vun8PVzbSa3fkLh%2F9pxETZjUrF2KSJQ%3D%3D
iPod Classic,Apple iPod Classic 160GB 6th Gen Silver A1238 MB145LL – Fully Working ,159.99,Used,https://www.ebay.com/itm/227223652092?_skw=iPod+Classic+160GB&hash=item34e795c6fc:g:0c8AAeSwz2Zplykq
iPod Classic,Apple iPod Classic 7th Gen 160GB Black A1238 2009 - For Parts (READ Description),85.0,For parts or not working,https://www.ebay.com/itm/147174470491?_skw=iPod+Classic+160GB&hash=item224448335b:g:QkcAAeSw0VBpoNUc
iPod Classic,Apple iPod classic 6th Generation Silver (160 GB),149.99,Used,https://www.ebay.com/itm/358160056240?_skw=iPod+Classic+160GB&hash=item536400bfb0:g:FWgAAeSwFLVpeErG
iPod Classic,Apple iPod Classic 6th Gen 120GB Gray A1238 For Parts Not Tested,94.98,Used,https://www.ebay.com/itm/157713638809?_skw=iPod+Classic+160GB&hash=item24b8772599:g:WZEAAeSwSgxpogg~
iPod Classic,NEW Apple iPod Classic 5th 6th 7th Gen 128GB 256GB Modded NEW Battery Mp3 Player,419.0,New,https://www.ebay.com/itm/406379025681?_skw=iPod+Classic+160GB&hash=item5e9e13d511:g:40MAAeSwNPhpgZLO
iPod Classic,ipod classic 160gb Gray,165.0,Used,https://www.ebay.com/itm/236639498389?_skw=iPod+Classic+160GB&hash=item3718d03095:g:7scAAeSwlxFpk4JW
iPod Classic,Apple iPod Classic 160GB 7th Gen A1238 Black BUNDLE | TESTED,161.99,Used,https://www.ebay.com/itm/257374000481?_skw=iPod+Classic+160GB&hash=item3becaf9561:g:PRoAAeSwyiJpm6Bn
iPod Classic,Apple iPod Classic 160GB Black A1238 7th Gen Bundle Tested,200.0,Used,https://www.ebay.com/itm/327023062670?_skw=iPod+Classic+160GB&hash=item4c2417ee8e:g:groAAeSw7WVpo3UL
iPod Classic,APPLE  iPOD  CLASSIC  6TH GEN.  CUStOM  SILVER/BLACK  80GB...NEW  BATTERY...,189.99,Used,https://www.ebay.com/itm/202638435159?_skw=iPod+Classic+160GB&hash=item2f2e312357:g:~QsAAOxyyjpRuRnf&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZCOD3RvWHV%2BMqrOju6YReVn5RnxOq%2FFDJr9MrdsztYs4jXUwyxpmHTkVkAsH2DizJbIXUPAIPxdrwirTBVZKC2kIbXFlX3luhdzrahjfj4D1uEM3KhI%2F%2B3skIqA%2BNDcsKbinuxoFqQ9mFLbwkdrKw%2B9LueRl7lCVWXgrDefy4gR2Vm%2B5f1%2FIrPExYwme7Etw8aE4xRnv%2FRZJFcDy4z74fHuhNsZP2gnlnvVhpzTEosaYp8OcbTziNfPKxyBjtbCLq8LKh3v8NhI0Y46kvqsKrGbsjHZRu46CdlN2iD8KeX2g%3D%3D
iPod Classic,Apple IPOD CLASSIC 7th Generation 160GB (MC297ll/a) MP3 - MINT Condition,324.95,Excellent - Refurbished,https://www.ebay.com/itm/177822436717?_skw=iPod+Classic+160GB&hash=item29670b0d6d:g:LaQAAeSwxBZpfTyK&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGbJEl1yuNI97Egg0Vn%2B6mRJp7WOXG16gmhcP6rm5p0Bpsj0sNBTIXv8LURho2%2BB9hN9wC3iskTVnY7sFVxBGvSGR6WM1Ow4szGq%2BActOE6yvdk4R8Ry3JQiQQXP0SxPf5dEQ5iBDp8JqN6j4CiNF0OoGGvGMda1e0cdIQyhVDMMbRtiiauezciUtFhif8RDgTyhIkAg7PpKJ1eoVuk%2Fsv970Q1goIc6DvHVo2SQZqU9e9GOqyBNqHOSIc%2BFz9lj6dtph87bGKFKP2FefcBly6VK8Y%2FSDD2Fn7VFaqvprXwhig%3D%3D
